Season,HomeTeam,AwayTeam,home_rest_days_all,away_rest_days_all,home_matches_last_14_all,away_matches_last_14_all,home_played_euro_last_5,away_played_euro_last_5,diff_rest_days_all,diff_matches_last_14_all,diff_played_euro_last_5
2016_2017,Chelsea,Man City,4.0,3.0,1,1,0,0,1.0,0,0
2016_2017,Hull,Middlesbrough,4.0,3.0,1,1,0,0,1.0,0,0
2016_2017,Liverpool,Bournemouth,4.0,4.0,1,1,0,0,0.0,0,0
2016_2017,Southampton,Crystal Palace,4.0,4.0,1,1,0,0,0.0,0,0
2016_2017,Swansea,Tottenham,3.0,4.0,1,1,0,0,-1.0,0,0
2016_2017,Bournemouth,Chelsea,3.0,3.0,2,2,0,0,0.0,0,0
2016_2017,Man City,Hull,3.0,3.0,2,2,0,0,0.0,0,0
2016_2017,Middlesbrough,Burnley,3.0,4.0,2,2,0,0,-1.0,0,0
2016_2017,Stoke,Liverpool,4.0,3.0,2,2,0,0,1.0,0,0
2016_2017,Tottenham,Watford,3.0,4.0,2,2,0,0,-1.0,0,0
2016_2017,West Brom,Southampton,4.0,3.0,2,2,0,0,1.0,0,0
2016_2017,West Ham,Swansea,3.0,3.0,2,2,0,0,0.0,0,0
2016_2017,Everton,Leicester,5.0,5.0,2,2,0,0,0.0,0,0
2016_2017,Sunderland,Man United,5.0,5.0,2,2,0,0,0.0,0,0
2016_2017,Crystal Palace,Arsenal,5.0,5.0,2,2,0,0,0.0,0,0
2016_2017,Crystal Palace,Leicester,5.0,3.0,3,4,0,1,2.0,-1,-1
2016_2017,Everton,Burnley,6.0,7.0,3,3,0,0,-1.0,0,0
2016_2017,Southampton,Man City,7.0,7.0,3,3,0,0,0.0,0,0
2016_2017,Stoke,Hull,7.0,7.0,3,3,0,0,0.0,0,0
2016_2017,Sunderland,West Ham,6.0,7.0,3,3,0,0,-1.0,0,0
2016_2017,Tottenham,Bournemouth,7.0,7.0,3,3,0,0,0.0,0,0
